中文文案,英语,日语,印尼语
权限,Permissions,権限,Izin
设置,Settings,設定,Pengaturan
帮助,Help,ヘルプ,Bantuan
反馈,Feedback,フィードバック,Masukan
隐私政策,Privacy Policy,プライバシーポリシー,Kebijakan Privasi
关闭,Off,オフ,Nonaktif
消息,Chats,チャット,Obrolan
聊天,Chat,チャット,Obrolan
会话,Chat,チャット,Obrolan
新建消息,New message,新規 メッセージ,Pesan baru
发送,Send,送信,Kirim
发送失败,Failed to send,送信に失敗しました,Gagal mengirim
重发,Resend,再送信,Kirim Ulang
撤回,Recall,送信取消,Tarik Kembali
转发,Forward,転送,Teruskan
回复,Reply,返信,Balas
引用回复,Reply in thread,スレッドで返信,Balas di utas
表情,Emoji,絵文字,Emoji
表情包,Stickers,スタンプ,Stiker
贴纸,Sticker,ステッカー,Stiker
图片,Image,画像,Gambar
视频,Video,動画,Video
语音,Voice,音声,Suara
文件,File,ファイル,File
位置,Location,位置情報,Lokasi
名片,Business Card,名刺,Kartu Nama
拍照,Take photo,カメラで撮影,Ambil foto
相册,Album,アルバム,Album
录音,Record,録音,Rekam
通话,Call,通話,Panggilan
语音通话,Voice call,音声通話,Panggilan suara
视频通话,Video call,ビデオ通話,Panggilan video
已读,Read,既読,Sudah dibaca
未读,Unread,未読,Belum dibaca
全部已读,Mark all as read,全員既読,Tandai semua sudah dibaca
@我,Mentions,@自分,Sebutan
@所有人,@Everyone,@全員,@Semua Orang
置顶会话,Pin to top,ピン留め,Sematkan ke atas
免打扰,Do Not Disturb,サイレント（通知オフ）,Jangan Ganggu
静音,Mute,ミュート,Bisukan
消息提醒,Message notifications,通知,Notifikasi pesan
通知,Notifications,通知,Notifikasi
消息通知,Message notifications,メッセージ通知,Notifikasi pesan
新消息,New message,新規メッセージ,Pesan baru
清空聊天记录,Clear chat history,チャット履歴をクリア,Hapus riwayat obrolan
聊天记录,Chat History,チャット履歴,Riwayat Obrolan
搜索聊天记录,Search chat history,チャット履歴を検索,Cari riwayat obrolan
消息设置,Message settings,チャット設定,Pengaturan pesan
群聊,Group Chat,グループチャット,Obrolan Grup
单聊,Direct Message,個別チャット,Pesan Langsung
群成员,Group members,グループメンバー,Anggota grup
群公告,Group announcement,お知らせ,Pengumuman grup
群文件,Group files,グループファイル,File grup
群设置,Group settings,グループ設定,Pengaturan grup
邀请加入群,Invite to join chat,グループへの招待,Undang untuk bergabung ke obrolan
退出群,Leave chat,グループを退出,Keluar dari obrolan
解散群,Delete chat,グループを解散,Hapus obrolan
管理员,Admin,管理者,Admin
群管理员,Group admin,グループ管理者,Admin grup
群主,Group owner,グループ作成者,Pemilik grup
禁言,Mute members,発言禁止,Bisukan anggota
加入群,Join chat,グループに参加,Gabung obrolan
频道,Channel,チャンネル,Saluran
话题,Topic,トピック,Topik
收藏,Favorite,お気に入り,Favorit
标记未读,Mark as unread,未読にする,Tandai belum dibaca
置顶消息,Pin to top,ピン留め,Sematkan ke atas
钉住消息,Pinned message,固定メッセージ,Pesan yang disematkan
引用,Quote,参照,Kutip
分享到外部,Share externally,外部に共有,Bagikan ke eksternal
外部联系人,External contacts,外部連絡先,Kontak eksternal
外部群,External Chat,外部グループ,Obrolan Eksternal
服务协议,Terms of Service,利用規約,Ketentuan Layanan
消息免打扰,Mute chat,チャットをミュート,Bisukan obrolan
取消免打扰,Unmute chat,ミュートを解除,Nyalakan suara obrolan
发起群聊,New Chat,グルチャ作成,Obrolan Baru
标为未读,Mark as Unread,未読にする,Tandai Belum Dibaca
添加到分组,Add to Category,カテゴリに追加,Tambahkan ke Kategori
移除,Hide chat,削除,Sembunyikan obrolan
群设置,Group Settings,グループ設定,Pengaturan Grup
复制,Copy,コピー,Salin
转发,Forward,転送,Teruskan
回复,Reply,リプライ,Balas
多选,Multiselect,複数選択,Pilih Banyak
收藏,Favorites,お気に入り,Favorit
翻译,Translate,翻訳,Terjemahkan
待办,To-Do,タスク,Tugas
日程,Event,予定,Acara
便签,Notes,メモ,Catatan
稍后处理,Later,後処理,Nanti
群公告,Group Announcement,グループのお知らせ,Pengumuman Grup
我在本群的昵称,My Alias,グループ内の表示名,Alias Saya
群管理,Group Management,グループ管理,Kelola Grup
群成员,Members,メンバー,Anggota
按好友选,Select from Contacts,連絡先から選択,Pilih dari Kontak
按架构选,Select from Organization,組織から選択,Pilih dari Organisasi
面对面建群,Nearby Chat,対面でグループ作成,Obrolan Terdekat
按群聊选,Select from Existing Chats,既存グループから選択,Pilih dari Obrolan yang Ada
解散该群,Disband Chat,グループを解散,Bubarkan Obrolan
查看全部群成员,Members,全員を表示,Anggota
群功能开关,Feature Settings,機能設定,Pengaturan Fitur
群快捷栏,Chat Quick actions,よく使う機能,Tindakan Cepat Obrolan
群邮件组,Group Mailing List,グルチャ・メーリングリスト,Daftar Milis Grup
禁止群成员私聊,Turn off Private Chat,メンバー間の個別チャットを禁止,Nonaktifkan Obrolan Pribadi
转让群主,Transfer Group Ownership,グループ作成者を譲渡,Alihkan Kepemilikan Grup
谁可以@所有人,Who can @mention all,@全員 を使用できるユーザー,Siapa yang dapat @mention semua
所有群成员,All Group Members,グループ全員,Semua Anggota Grup
谁可以在群内发DING,Who can send DING,DINGを送信できるユーザー,Siapa yang dapat mengirim DING
谁可以把群消息置顶,Who can pin,ピン留めできるユーザー,Siapa yang dapat menyematkan
谁可以发起群接龙,Who can start a poll,募集を開始できるユーザー,Siapa yang dapat memulai polling
谁可以发起群直播,Who can start live,ライブ配信を開始できるユーザー,Siapa yang dapat memulai siaran langsung
谁可以在群里发起视频和语音会议,Who can start video or voice meetings,ビデオまたは音声会議を開始できるユーザー,Siapa yang dapat memulai rapat video atau suara
群介绍,Group Description,グループ説明,Deskripsi Grup
入群许可,Membership approval,グループ参加認証,Persetujuan Keanggotaan
群可被搜索,Find group via search,グループの検索可能を許可,Temukan grup melalui pencarian
新成员可查看聊天记录,New members can view chat history,新規メンバーが履歴を閲覧可能,Anggota baru dapat melihat riwayat obrolan
群文件同步钉盘,Sync files to Drive,グループファイルをドライブに同期,Sinkronkan file ke Drive
群日历,Group Calendar,グループカレンダー,Kalender Grup
谁可以发起群收款,Who can Collect Payment,割り勘・請求を作成できるユーザー,Siapa yang dapat menerima pembayaran
内部群,Internal Group,内部グループ,Grup Internal
普通群,Standard Group,一般グループ,Grup Standar
个性化设置，仅对自己生效,Personal Settings (Only visible to you),個人設定（自分のみ有効）,Pengaturan Pribadi (Hanya terlihat oleh Anda)
机器人,Bots,ボット,Bot
设置群身份,Set Group Role,ロールの役割を設定,Atur Peran Grup
代码片段,Code Snippets,コードスニペット,Cuplikan Kode
AI灵动回复,AI Smart Reply,AIスマート返信,Balasan Cerdas AI
归属于,Belongs to,所属,Milik
请输入消息,Please enter a message,メッセージを入力してください。,Silakan masukkan pesan
被禁言的成员,Muted Members,ミュートされたメンバー,Anggota yang Dibisukan
添加禁言成员,Add Muted Members,メンバーを追加,Tambah Anggota yang Dibisukan
全员禁言,Mute All,全員ミュート,Bisukan Semua
表情,Emoji,絵文字,Emoji
赞,Like,いいね,Suka
试试直接输入@,Try typing @,@を入力してみてください,Coba ketik @
截图,Screenshot,スクリーンショット,Tangkapan Layar
上传文件,Upload File,ファイルをアップロード,Unggah File
更多,More,その他,Lainnya
最近使用,Recently Used,最近使用したもの,Baru Digunakan
默认表情,Default Emojis,デフォルトの絵文字,Emoji Default
收藏的表情,Favorite Stickers,お気に入り,Stiker Favorit
加粗,Bold,太字,Tebal
文字颜色,Text Color,文字色,Warna Teks
斜体,Italic,斜体,Miring
删除线,Strikethrough,取り消し線,Coret
无序列表,Bulleted List,箇条書き,Daftar Berpoin
有序列表,Numbered List,番号付きリスト,Daftar Bernomor
列表缩进前进,Increase Indent,インデントを増やす,Tambah Inden
列表缩进后退,Decrease Indent,インデントを減らす,Kurangi Inden
链接,Link,リンク,Tautan
分割线,Divider,区切り線,Pembatas
清除格式,Clear Formatting,書式をクリア,Hapus Format
收起,Collapse,折り畳む,Ciutkan
设为定时,Set as Scheduled,予約設定,Tetapkan sebagai Terjadwal
设为静音,Mute,ミュートに設定,Bisukan
日历,Calendar,カレンダー,Kalender
点此预览,Preview,プレビュー,Pratinjau
全员群,All-staff Chat,全員グループ,Obrolan Seluruh Staf
部门群,Department Chat,部門グループ,Obrolan Departemen
合作群,Collaboration Chat,コラボグループ,Obrolan Kolaborasi
@人,@ People,@メンバー,@ Orang
操作记录,Activity log,操作ログ,Log Aktivitas
智能体,Agent,エージェント,Agen
AI 字段,AI field,AIフィールド,Bidang AI
AI 公式助手,AI Formula Assistant,AI数式アシスタント,Asisten Formula AI
AI 招聘助手,AI Recruitment Assistant,AI採用アシスタント,Asisten Rekrutmen AI
AI 表格,AI Table,AIテーブル,AI Table
AI 表格 企业版/旗舰版,AI Table Enterprise / Ultimate,AIテーブル　エンタープライズ版/プレミアム版,AI Table Enterprise / Ultimate
AI 表格高级权限,AI Table Granular Access,AIテーブル　詳細アクセス権限,Akses Terperinci AI Table
AI 表格首页布局模板,AI Table Homepage Layout Template,AIテーブル　ホームページのレイアウトテンプレート,Templat Tata Letak Beranda AI Table
AI 标签匹配,AI Tagging,AIタグマッチング,AI Tagging
AI 生成公式,AI-generated formula,AI数式生成,Formula yang dihasilkan AI
AI 分析图表,Analyze with AI,AIグラフ分析,Analisis dengan AI
AI 解析仪表盘,Analyze with AI,AIダッシュボード分析,Analisis dengan AI
应用,App,アプリ,Aplikasi
应用名,App name,アプリ名,Nama aplikasi
应用权限,App permissions,アプリ権限,Izin aplikasi
外观,Appearance,外観,Tampilan
应用布局,Apply Layout,レイアウト適用,Terapkan Tata Letak
审批流程,Approval process,承認フロー,Proses persetujuan
面积图,Area,面積チャート,Area
关联的表,Associated table,関連するテーブル,Tabel terkait
关联,Association,関連,Asosiasi
附件,Attachment,添付,Lampiran
属性,Attribute,属性,Atribut
鉴权方式,Authentication method,認証方法,Metode autentikasi
自动化,Automation,自動化,Otomatisasi
自动化权限,Automation permissions,自動化権限,Izin otomatisasi
自动编号,Autonumber,自動化ID,Penomoran otomatis
条形图,Bar,横棒チャート,Batang
基础组件,Basic components,基本コンポーネント,Komponen dasar
空白数据表,Blank table,空白のデータテーブル,Tabel kosong
双向关联,Both-way Link,双方向関連,Tautan Dua Arah
AI 建表,Build with AI,AIからテーブルの新規作成,Bangun dengan AI
日历,Calendar,カレンダー,Kalender
日历视图,Calendar,カレンダービュー,Kalender
卡片,Card,カード,Kartu
卡片列表,Cards,カードリスト,Kartu
单元格,Cell,セル,Sel
数据看板中心,Central Dashboard,ダッシュボードセンター,Dasbor Pusat
图表,Chart,チャート,Bagan
图表类型,Chart type,チャート種類,Jenis bagan
勾选框,Checkbox,チェックボックス,Kotak centang
引用,Citation,参照,Kutipan
协作视图,Collaborative view,共同編集者ビュー,Tampilan kolaboratif
协作人,Collaborator,共同編集者,Kolaborator
协作者,Collaborator,共同編集者,Kolaborator
列,Column,列,Kolom
柱状图,Column,縦棒チャート,Kolom
列宽,Column width,列幅,Lebar kolom
组件,Component,コンポーネント,Komponen
组件名,Component name,コンポーネント名,Nama komponen
查找条件,Condition,フィルター検索,Kondisi
筛选条件组,Condition group,フィルター条件グループ,Grup kondisi
条件组,Condition group,条件グループ,Grup kondisi
连接器,Connector,コネクタ,Konektor
计数,Count,カウント,Hitung
非空值计数,Count non-empty value,非空値カウント,Hitung nilai yang tidak kosong
去重计数,Count unique values,固有値カウント,Hitung nilai unik
创建人,Created by,作成者,Dibuat oleh
创建时间,Created time,作成時間,Waktu pembuatan
记录创建人,Creator,作成者記録,Pembuat
跨 AI 表格数据同步,Cross-AI Table data sync,AI間テーブルデータの同期,Sinkronisasi data lintas AI Table
货币,Currency,通貨,Mata uang
自定义数据连接器,Custom connector,カスタムデータコネクタ,Konektor kustom
自定义 AI 任务指令,Custom instructions,カスタムAIタスク指示,Instruksi kustom
自定义插件,Custom Plugin,カスタムプラグイン,Plugin Kustom
自定义角色,Custom role,カスタムロール,Peran kustom
固定文本,Custom text,カスタムテキスト,Teks kustom
卡片配置,Customize cards,カード設定,Sesuaikan kartu
仪表盘,Dashboard,ダッシュボード,Dasbor
仪表盘整体权限,Dashboard permissions,ダッシュボード権限,Izin dasbor
数据连接中心,Data Connect Hub,データコネクタセンター,Data Connect Hub
数据标签,Data labels,データタグ,Label data
数据权限设置,Data Permission Settings,データ権限設定,Pengaturan Izin Data
数据权限,Data Permissions,データ権限,Izin Data
数据来源,Data source,データソース,Sumber data
数据源,Data Source,データソース,Sumber Data
数据源中心,Data Source Center,データソースセンター,Pusat Sumber Data
数据源标题,Data source title,データソースタイトル,Judul sumber data
日期与时间,Date & Time,日付と時刻,Tanggal & Waktu
日期字段,Date field,日付フィルター,Bidang tanggal
日期类型,Date type,日付種類,Tipe tanggal
详细权限,Detailed permissions,詳細権限,Izin terperinci
明细表,Details table,明細表,Tabel detail
维度/轴,Dimension/axis,ディメンション/軸,Dimensi/sumbu
钉钉文档,DingTalk Docs,DingTalkドキュメント,DingTalk Docs
钉钉表格,Spreadsheet,スプレッドシート,Spreadsheet
展示时区,Display time zone,タイムゾーン表示,Zona waktu tampilan
文档 ID,Document ID,ドキュメントID,ID Dokumen
文档成员,Document member,ドキュメントメンバー,Anggota dokumen
文档成员,Document members,ドキュメントメンバー,Anggota dokumen
编辑者,Editor,編集者,Editor
实体,Entity,エンティティ,Entitas
条目,Entry,エントリ,Entri
组织外成员,External user,組織外メンバー,Pengguna eksternal
精选模板,Featured Template,プレミアムテンプレート,Templat Unggulan
字段,Field,フィールド,Bidang
字段/列,Field,フィールド,Bidang
字段内容权限,Field content permissions,フィールド内容権限,Izin konten bidang
字段/列描述,Field description,フィールド説明,Deskripsi bidang
字段管理,Field management,フィールド管理,Kelola bidang
字段权限,Field permissions,フィールド権限,Izin bidang
字段引用,Field reference,フィールド参照,Referensi bidang
字段标题,Field title,フィールドタイトル,Judul bidang
字段类型,Field type,フォールド種類,Tipe bidang
附件内容,File content,添付内容,Konten file
附件名,File name,添付名称,Nama file
附件类型,File type,添付種類,Tipe file
过滤器,Filter,フィルター,Filter
筛选,Filter,フィルター,Filter
指定记录,Filtered records,フィルター済みレコード,Rekaman terfilter
查找,Find,検索,Cari
缩放模式,Fit mode,ズームモード,Mode paskan
流程配置,Flow configuration,フロー設定,Konfigurasi alur
表单,Form,フォーム,Formulir
表单视图,Form,フォームビュー,Formulir
编号格式,Format,番号フォーマット,Format
货币格式,Format,通貨フォーマット,Format
显示格式,Format,表示フォーマット,Format
公式,Formula,数式,Formula
公式编辑器,Formula editor,数式エディタ,Editor formula
公式格式,Formula format,数式フォーマット,Format formula
免费共享通道,Free channel,無料共有チャネル,Saluran gratis
完全权限,Full permissions,全権限,Izin penuh
漏斗图,Funnel,ファネルチャート,Corong
漏斗类型,Funnel type,ファネル種類,Tipe corong
画册,Gallery,アルバム,Galeri
画册视图,Gallery,アルバムビュー,Galeri
图库预览,Gallery Preview,アルバムプレビュー,Pratinjau Galeri
高级权限,Granular Access,詳細アクセス権限,Akses Terperinci
表格视图,Grid,グリッドビュー,Kisi
分组,Group,グループ分け,Grup
分组聚合,Group by,グループ集計,Kelompokkan berdasarkan
未展示字段,Hidden fields,非表示済みフィールド,Bidang tersembunyi
隐藏字段,Hidden fields,フィールドを非表示,Bidang tersembunyi
隐藏列,Hide columns,列を非表示,Sembunyikan kolom
隐藏编组,Hide group,フィールドグループを非表示,Sembunyikan grup
隐藏分组,Hide grouping,グループを非表示,Sembunyikan pengelompokan
首页布局,Home page Layout,ホームページレイアウト,Tata Letak halaman utama
图片和附件,Images & Attachments,イメージ図と添付,Gambar & Lampiran
自增数字,Incremental,増分,Inkremental
失效字段,Invalid field,無効フィールド,Bidang tidak valid
看板,Kanban,看板,Kanban
看板视图,Kanban,看板ビュー,Kanban
最后更新者,Last editor,最後更新者,Editor terakhir
更新人,Last modified by,更新者,Terakhir diubah oleh
最后更新时间,Last modified time,最後更新時間,Waktu modifikasi terakhir
布局,Layout,レイアウト,Tata letak
组合布局,Layout,複合レイアウト,Tata letak
折线图,Line,折れ線チャート,Garis
折线类型,Line type,折れ線種類,Tipe garis
链接标题,Link title,タイトルをリンク,Judul tautan
关联字段,Linked field,関連済みフィールド,Bidang tertaut
关联的数据表,Linked table,関連済みデータテーブル,Tabel tertaut
列表视图,List,リストビュー,Daftar
列表类型,List type,リスト種類,Tipe daftar
地理位置,Location,位置情報,Lokasi
查找引用,Lookup,参照を検索,Pencarian
查找与引用,Lookup,検索と参照,Pencarian
权限管理,Manage permissions,権限管理,Kelola izin
视图标记,Mark,ビューをマーク,Tandai
Markdown 预览,Markdown Preview,マークダウンプレビュー,Pratinjau Markdown
度量/值,Measure/value,メジャー/値,Ukuran/nilai
成员,Member,メンバー,Anggota
指标卡,Metrics,指標,Metrik
修改时间,Modified time,編集時間,Waktu modifikasi
多数据源模式,Multi-data-source mode,複数データソースモード,Mode multi-sumber data
多行图文,Multi-line graphics,複数行グラフィック,Grafik multi-baris
多行文本,Multi-line text,複数行テキスト,Teks multi-baris
多选,Multi-Select,複数選択,Pilihan Ganda
我的空间,My space,マイスペース,Ruang saya
NPS 图,NPS,NPSチャート,NPS
编号,Number,番号,Angka
数字格式,Number format,番号フォーマット,Format angka
数字选项,Number options,番号オプション,Opsi angka
编号类型,Numbering type,番号種類,Tipe penomoran
数值格式,Numeric Format,数値フォーマット,Format numerik
数值,Numerical,数値,Numerik
数值轴,Numerical Axis,数値軸,Sumbu numerik
OA审批,OA Approval,OA承認,Persetujuan OA
一次性触发,One-time trigger,ワンタイムトリガー,Pemicu sekali pakai
单向关联,One-way Link,片方向関連,Tautan Satu Arah
选项颜色,Option color,オプション色,Warna opsi
选项标签,Option label,オプションタグ,Label opsi
所有者,Owner,所有者,Pemilik
页面,Page,ページ,Halaman
页面数据权限,Page data permissions,ページデータ権限,Izin data halaman
页面组,Page groups,ページグループ,Grup halaman
页面权限,Page permissions,ページ権限,Izin halaman
父记录,Parent record,親レコード,Rekaman induk
百分比格式,Percent format,パーセントフォーマット,Format persen
周期分表,Periodic table,周期的テーブル,Tabel periodik
权限,Permission,権限,Izin
权限管理,Permission Management,権限管理,Pengelolaan Izin
个人视图,Personal view,個人ビュー,Tampilan pribadi
饼图,Pie,円チャート,Pai
透视表,Pivot table,ピボットテーブル,Tabel pivot
数据地图,Plot map,データマップ,Peta plot
插件,Plugin,プラグイン,Plugin
插件中心,Plugin Center,プラグインセンター,Pusat Plugin
插件市场,Plugin Marketplace,プラグインストア,Marketplace Plugin
展示模式,Presentation mode,プレゼンモード,Mode presentasi
首列,Primary field,先頭列,Bidang utama
主字段,Primary field,メインフィールド,Bidang utama
主键,Primary key,メインキー,Kunci utama
进度,Progress,進捗,Progres
进度图,Progress,進捗チャート,Progres
题型,Question type,質問タイプ,Jenis pertanyaan
雷达图,Radar,レーダーチャート,Radar
评分,Rating,評価点,Peringkat
推荐模板,Recommends,おすすめのテンプレート,Rekomendasi
记录,Record,レコード,Rekam
行,Record,行,Rekam
记录内容,Record data,レコード内容,Data rekaman
记录历史,Record history,レコード履歴,Riwayat rekaman
记录权限,Record permissions,レコード権限,Izin rekaman
回收站,Recycle Bin,ゴミ箱,Tempat Sampah
引用表,Ref table,参照テーブル,Tabel referensi
引用选项,Reference options,参照オプション,Opsi referensi
引用表：{{sheetName}},Reference Sheet: {{sheetName}},参照テーブル: {{テーブル名}},Sheet referensi: {{sheetName}}
引用字段,Referenced fields,参照フィールド,Bidang yang direferensikan
相关连接器,Related connectors,関連するコネクタ,Konektor terkait
相关数据源,Related data sources,関連するデータソース,Sumber data terkait
关联引用,Related Lookup,関連する参照,Lookup Terkait
周期性触发,Repeats,周期的トリガー,Pengulangan
填写人,Respondent,記入者,Responden
填写人设置,Respondent settings,記入者設定,Pengaturan responden
富文本,Rich Text,リッチテキスト,Teks Kaya
角色,Role,ロール,Peran
聚合字段,Rollup field,フィールドを折り畳む,Bidang rollup
行名称,Row name,行名称,Nama baris
行侧,Row side,行側,Sisi baris
行侧填色,Row side indicator,行側塗りつぶし,Indikator sisi baris
散点图,Scatter,散布図,Sebar
自动化推送仪表盘,Scheduled dashboard delivery,自動配信ダッシュボード,Pengiriman dasbor terjadwal
定时推送,Scheduled delivery,定時配信,Pengiriman terjadwal
定时提醒,Scheduled reminder,定時通知,Pengingat terjadwal
脚本插件,Script Plugins,脚本プラグイン,Plugin Skrip
查找结果,Search results,検索結果,Hasil pencarian
单选,Select,単一選択,Pilih
共享范围,Share Scope,共有範囲,Cakupan Berbagi
共享者,Shared by,共有者,Dibagikan oleh
共享数据源,Shared data source,共有データソース,Sumber data bersama
显示字段,Show field,フィールドを表示,Tampilkan bidang
手写签名,Signature,手書き署名,Tanda tangan
单行文本,Single-line text,一行テキスト,Teks satu baris
排序规则,Sorting rules,並べ替えルール,Aturan pengurutan
数据详情,Source records,データ詳細情報,Rekaman sumber
空间,Space,スペース,Ruang
分组依据,Stacked by,グループ分けルール,Ditumpuk berdasarkan
常规字段,Standard fields,デフォルトフィールド,Bidang standar
流程节点,Step,フローノード,Langkah
流程节点,Steps,フローノード,Langkah
提交时间,Submission time,提出時間,Waktu pengiriman
填写模式,Submit mode,記入モード,Mode kirim
提交人,Submitter,提出者,Pengirim
同步设置,Sync settings,同期設定,Pengaturan sinkronisasi
系统角色,System Roles,デフォルトロール,Peran Sistem
表,Table,テーブル,Tabel
数据表,Table,データテーブル,Tabel
数据表权限,Table permissions,データテーブル権限,Izin tabel
表格配置,Table settings,テーブル設定,Pengaturan tabel
收集表,Table with form,集計テーブル,Tabel dengan formulir
表哥,Tabler,テーちゃん,Tabler
AI 表格助理,Tabler,AIテーブルアシスタント,Tabler
AI 助理,Tabler,AIアシスタント,Tabler
AI 助理 Beta 版,Tabler Beta,AIアシスタント　Beta版,Tabler Beta
标签,Tag,タグ,Tag
目标表单,Target form,ターゲットフォーム,Formulir target
团队空间,Team space,チームスペース,Ruang tim
团队空间名称,Team space name,チームスペース名,Nama ruang tim
模板中心,Template Gallery,テンプレートセンター,Galeri Templat
模板预览,Template Preview,テンプレートプレビュー,Pratinjau Templat
附件临时链接,Temporary file URL,添付の一時リンク,URL file sementara
层级,Tier,階層,Tingkat
平铺选项,Tile options,オプションを展開,Opsi ubin
时间字段,Time Field,時間フィールド,Bidang Waktu
时区设置,Time zone,タイムゾーン,Zona waktu
定时触发,Time-Based Triggers,定時的トリガー,Pemicu Berbasis Waktu
甘特,Timeline,ガント,Lini Masa
甘特视图,Timeline,ガントビュー,Lini Masa
甘特图,Timeline,ガントチャート,Lini Masa
甘特图配置,Timeline settings,ガントチャート設定,Pengaturan lini masa
待办,To-do,タスク,Tugas
令牌,Token,アクセスキー,Token
行总计,Total rows,行の合計,Total baris
趋势图,Trend Chart,トレンドチャート,Bagan Tren
触发器,Trigger,トリガー,Pemicu
触发类型,Trigger type,トリガー種類,Jenis pemicu
唯一值,Unique,固定値,Unik
未命名,Untitled,無題,Tanpa judul
无标题,Untitled,タイトルなし,Tanpa judul
未命名图表,Untitled chart,無題のチャート,Bagan tanpa judul
未命名表单,Untitled form,無題のフォーム,Formulir tanpa judul
未命名记录,Untitled record,無題のレコード,Rekaman tanpa judul
未命名脚本插件,Untitled script plugin,無題の脚本プラグイン,Plugin skrip tanpa judul
更新时间,Update time,更新時間,Waktu pembaruan
人员,User,メンバー,Pengguna
用户,User,ユーザー,Pengguna
人员字段,User field,メンバーフィールド,Bidang pengguna
视图,View,ビュー,Tampilan
视图链接,View link,ビューのリンク,Tautan tampilan
视图权限,View permissions,ビューの権限,Izin tampilan
查看者,Viewer,閲覧者,Penampil
视图,Views,ビュー,Tampilan
工作流,workflow,作業フロー,alur kerja
工作流应用,Workflow Application,作業フローアプリ,Aplikasi Alur Kerja
工作流 ID,Workflow ID,作業フローID,ID Alur Kerja
人员类型,Workforce Type,メンバー種類,Jenis Tenaga Kerja
工作日设置,Working days,勤務日設定,Hari kerja
横轴,X-Axis,横軸,Sumbu X
纵轴,Y-Axis,縦軸,Sumbu Y
